lease_id,day,prob_1d_perc,prob_2d_perc,prob_3d_perc
1966753,2020-08-03,0,0,0
1996396,2020-08-03,1,0,0
1995059,2020-08-03,0,0,0
1983113,2020-08-03,0,0,0
1976000,2020-08-03,0,0,0
1974336,2020-08-03,0,0,0
1966738,2020-08-03,0,0,0
1966761,2020-08-03,0,0,0
1974096,2020-08-03,0,0,0
1974724,2020-08-03,0,0,0
1974781,2020-08-03,0,0,0
1974856,2020-08-03,0,0,0
1976034,2020-08-03,0,0,0
1976125,2020-08-03,0,0,0
1978014,2020-08-03,0,0,0
1982941,2020-08-03,0,0,0
1987783,2020-08-03,0,0,0
1987841,2020-08-03,0,0,0
1987882,2020-08-03,0,0,0
1989359,2020-08-03,0,0,0
1989623,2020-08-03,1,0,0
1992148,2020-08-03,0,0,0
1993534,2020-08-03,1,0,0
1994417,2020-08-03,0,0,0
1994516,2020-08-03,0,0,0
1994821,2020-08-03,0,0,0
1994938,2020-08-03,0,0,0
1995067,2020-08-03,0,0,0
1996404,2020-08-03,1,0,0
1997238,2020-08-03,0,0,0
1948017,2020-08-03,0,0,0
1966852,2020-08-03,0,0,0
1951375,2020-08-03,0,0,0
1951383,2020-08-03,0,0,0
1966811,2020-08-03,0,0,0
1951326,2020-08-03,0,0,0
1934363,2020-08-03,0,0,0
1934371,2020-08-03,0,0,0
1966787,2020-08-03,0,0,0
1966795,2020-08-03,0,0,0
1982891,2020-08-03,0,0,0
1982909,2020-08-03,0,0,0
1947779,2020-08-03,0,0,0
1947787,2020-08-03,0,0,0
1946458,2020-08-03,0,0,0
1946466,2020-08-03,0,0,0
1974641,2020-08-03,0,0,0
1974658,2020-08-03,0,0,0
1989581,2020-08-03,1,0,0
1989599,2020-08-03,1,0,0
20-001BL,2020-08-03,1,0,0
20-002WC,2020-08-03,1,0,0
20-003BL,2020-08-03,0,0,0
20-004WC,2020-08-03,0,0,0
20-005BL,2020-08-03,2,0,0
20-006WC,2020-08-03,2,0,0
20-007BL,2020-08-03,0,0,0
20-008WC,2020-08-03,0,0,0
20-009BL,2020-08-03,0,0,0
20-010BL,2020-08-03,0,0,0
20-011WC,2020-08-03,0,0,0
20-012BL,2020-08-03,0,0,0
20-013WC,2020-08-03,0,0,0
20-014BL,2020-08-03,0,0,0
20-015WC,2020-08-03,0,0,0
9513,2020-08-03,0,0,0
1994458,2020-08-03,0,0,0
1994466,2020-08-03,0,0,0
20-016WC,2020-08-03,0,0,0
20-017BL,2020-08-03,0,0,0
20-018WC,2020-08-03,0,0,0
776,2020-08-03,1,0,0
44-C-97,2020-08-03,NA,NA,NA
14-C-91A,2020-08-03,NA,NA,NA
47-C-02,2020-08-03,NA,NA,NA
12-C-91,2020-08-03,NA,NA,NA
29-C-94,2020-08-03,NA,NA,NA
27-C-94,2020-08-03,NA,NA,NA
14-C-91B,2020-08-03,NA,NA,NA
13-C-91,2020-08-03,NA,NA,NA
23-C-93,2020-08-03,NA,NA,NA
31-C-94,2020-08-03,NA,NA,NA
30-C-94,2020-08-03,NA,NA,NA
25-C-94,2020-08-03,NA,NA,NA
28-C-94,2020-08-03,NA,NA,NA
11-C-91,2020-08-03,NA,NA,NA
15-C-91,2020-08-03,NA,NA,NA
48-C-96,2020-08-03,NA,NA,NA
43-C-95,2020-08-03,NA,NA,NA
500-A,2020-08-03,NA,NA,NA
42-70,2020-08-03,NA,NA,NA
317,2020-08-03,NA,NA,NA
861,2020-08-03,NA,NA,NA
17-C-91,2020-08-03,NA,NA,NA
1948058,2020-08-03,NA,NA,NA
1948066,2020-08-03,NA,NA,NA
1974393,2020-08-03,NA,NA,NA
1974450,2020-08-03,NA,NA,NA
