lease_id,datetime_uct,prob_1d_perc,prob_2d_perc,prob_3d_perc,flag
33-C-95,9/16/20,85,30,58,testing
34-C-95,9/16/20,85,30,58,testing
35-C-95,9/16/20,85,30,58,testing
36-C-95,9/16/20,85,30,58,testing
37-C-95,9/16/20,85,30,58,testing
38-C-95,9/16/20,85,30,58,testing
39-C-95,9/16/20,85,30,58,testing
40-C-95,9/16/20,85,30,58,testing
900779,9/16/20,99,52,40,testing
8-C-91,9/16/20,85,30,58,testing
538,9/16/20,84,91,38,testing
18-C-92,9/16/20,43,94,96,testing
3-C-89,9/16/20,58,61,66,testing
16-C-91,9/16/20,38,55,31,testing
24-C-93,9/16/20,38,55,31,testing
989749,9/16/20,83,71,63,testing
7-C-90,9/16/20,83,71,63,testing
20-C-92,9/16/20,83,71,63,testing
9712,9/16/20,80,71,63,testing
744,9/16/20,45,40,20,testing
746,9/16/20,45,40,20,testing
881003,9/16/20,85,29,96,testing
8916,9/16/20,43,94,96,testing
1459247,9/16/20,70,63,24,testing
1226208,9/16/20,87,32,26,testing
751,9/16/20,45,40,20,testing
8917,9/16/20,43,94,96,testing
9209,9/16/20,76,82,57,testing
850,9/16/20,37,29,42,testing
647,9/16/20,98,99,43,testing
864,9/16/20,45,47,39,testing
1194059,9/16/20,78,56,34,testing
9301,9/16/20,45,38,21,testing
9509,9/16/20,45,38,21,testing
9611,9/16/20,80,71,63,testing
1379452,9/16/20,98,93,36,testing
9202,9/16/20,92,54,46,testing
8702,9/16/20,66,34,81,testing
8709,9/16/20,39,77,78,testing
8803,9/16/20,45,47,39,testing
883B,9/16/20,80,71,63,testing
9702,9/16/20,78,56,34,testing
9703,9/16/20,78,56,34,testing
9707,9/16/20,78,56,34,testing
9802,9/16/20,77,77,60,testing
500-A,9/16/20,36,82,66,testing
83-80,9/16/20,54,41,47,testing
1535442,9/16/20,44,20,49,testing
96,9/16/20,78,32,24,testing
9405,9/16/20,77,77,60,testing
1610179,9/16/20,37,88,68,testing
9002,9/16/20,45,38,21,testing
8816,9/16/20,25,90,35,testing
522-A,9/16/20,25,90,35,testing
15-66A,9/16/20,36,49,66,testing
492,9/16/20,36,49,66,testing
883A,9/16/20,80,71,63,testing
793-A,9/16/20,80,71,63,testing
793-B,9/16/20,80,71,63,testing
WC-12-06,9/16/20,72,40,88,testing
448,9/16/20,25,90,35,testing
739,9/16/20,36,49,66,testing
9404,9/16/20,45,47,39,testing
9709,9/16/20,80,71,63,testing
1554609,9/16/20,81,40,86,testing
336,9/16/20,39,77,78,testing
906461,9/16/20,39,77,78,testing
846,9/16/20,23,85,64,testing
8921,9/16/20,88,83,40,testing
1590926,9/16/20,81,40,86,testing
1600550,9/16/20,45,47,39,testing
282,9/16/20,66,34,81,testing
631,9/16/20,66,34,81,testing
5-C-89,9/16/20,85,30,58,testing
45-C-97,9/16/20,45,47,39,testing
8817,9/16/20,45,47,39,testing
9108,9/16/20,45,38,21,testing
9102,9/16/20,67,38,60,testing
1601764,9/16/20,45,38,21,testing
624,9/16/20,45,47,39,testing
9203,9/16/20,25,90,35,testing
1427111,9/16/20,30,50,39,testing
1408350,9/16/20,70,63,24,testing
2101,9/16/20,73,53,79,testing
1546217,9/16/20,85,30,58,testing
8910,9/16/20,88,83,40,testing
747,9/16/20,45,40,20,testing
630,9/16/20,66,34,81,testing
42-70,9/16/20,45,47,39,testing
20-66,9/16/20,45,40,20,testing
603,9/16/20,25,90,35,testing
734,9/16/20,56,92,28,testing
149,9/16/20,69,36,82,testing
2001,9/16/20,78,32,24,testing
641,9/16/20,66,34,81,testing
642,9/16/20,66,34,81,testing
9304,9/16/20,45,47,39,testing
995969,9/16/20,78,32,24,testing
841,9/16/20,56,92,28,testing
328,9/16/20,78,32,24,testing
9207,9/16/20,80,71,63,testing
1652130,9/16/20,72,40,88,testing
145,9/16/20,36,49,66,testing
344-A,9/16/20,80,79,90,testing
347,9/16/20,40,90,96,testing
857,9/16/20,40,90,96,testing
866,9/16/20,66,34,81,testing
9201,9/16/20,53,81,78,testing
1636075,9/16/20,80,71,63,testing
1636083,9/16/20,80,71,63,testing
164,9/16/20,66,34,81,testing
1683820,9/16/20,92,54,46,testing
1618255,9/16/20,80,71,63,testing
1627843,9/16/20,80,71,63,testing
1632173,9/16/20,37,88,68,testing
1624519,9/16/20,37,81,42,testing
1572734,9/16/20,37,81,42,testing
WC-7-96,9/16/20,39,77,78,testing
1623511,9/16/20,39,77,78,testing
1547728,9/16/20,78,56,34,testing
1642487,9/16/20,61,42,94,testing
1642578,9/16/20,61,42,94,testing
1704170,9/16/20,80,71,63,testing
1704188,9/16/20,80,71,63,testing
1703669,9/16/20,28,43,32,testing
1703677,9/16/20,28,43,32,testing
9803,9/16/20,76,82,57,testing
1701838,9/16/20,73,26,67,testing
1670165,9/16/20,28,43,32,testing
1652866,9/16/20,40,95,48,testing
1686427,9/16/20,40,95,48,testing
1770692,9/16/20,61,42,94,testing
1770700,9/16/20,61,42,94,testing
1746197,9/16/20,89,53,84,testing
1701846,9/16/20,73,26,67,testing
1624147,9/16/20,58,92,71,testing
1722024,9/16/20,58,92,71,testing
1652148,9/16/20,72,40,88,testing
1702596,9/16/20,68,62,70,testing
1702604,9/16/20,68,62,70,testing
1763929,9/16/20,40,90,96,testing
1792357,9/16/20,80,71,63,testing
WC-13-09,9/16/20,81,40,86,testing
1718394,9/16/20,85,29,96,testing
1670173,9/16/20,28,43,32,testing
1705169,9/16/20,37,88,68,testing
9613,9/16/20,88,83,40,testing
1843986,9/16/20,88,83,40,testing
689,9/16/20,26,52,97,testing
1886639,9/16/20,48,42,21,testing
1859933,9/16/20,58,92,71,testing
1891340,9/16/20,80,71,63,testing
1872753,9/16/20,56,92,28,testing
1872779,9/16/20,38,90,24,testing
1861319,9/16/20,85,29,96,testing
1861301,9/16/20,85,29,96,testing
1892199,9/16/20,88,83,40,testing
1889450,9/16/20,54,41,47,testing
1863943,9/16/20,89,53,84,testing
1867472,9/16/20,36,49,66,testing
1885508,9/16/20,80,71,63,testing
1867944,9/16/20,80,71,63,testing
1897156,9/16/20,39,77,78,testing
1897966,9/16/20,77,77,60,testing
1849561,9/16/20,78,56,34,testing
1709310,9/16/20,75,91,64,testing
1841451,9/16/20,48,64,66,testing
1809318,9/16/20,25,46,51,testing
1900919,9/16/20,38,90,24,testing
1803675,9/16/20,25,46,51,testing
1804186,9/16/20,80,71,63,testing
1800853,9/16/20,80,71,63,testing
1854256,9/16/20,48,64,66,testing
1809391,9/16/20,37,88,68,testing
1859941,9/16/20,58,92,71,testing
1535467,9/16/20,44,20,49,testing
1865278,9/16/20,40,90,96,testing
1871458,9/16/20,78,74,95,testing
1889468,9/16/20,54,41,47,testing
1797083,9/16/20,23,56,83,testing
1801158,9/16/20,45,38,21,testing
1871441,9/16/20,56,92,28,testing
1800861,9/16/20,80,71,63,testing
1885565,9/16/20,80,71,63,testing
1867951,9/16/20,80,71,63,testing
1860139,9/16/20,80,71,63,testing
1900182,9/16/20,77,77,60,testing
1858844,9/16/20,85,29,96,testing
1872787,9/16/20,38,90,24,testing
1863950,9/16/20,89,53,84,testing
